system,plant,horizon,state_index,barrier_stage,newton_iteration,barrier_weight,preconditioned_weyl_lower,preconditioned_weyl_upper,preconditioned_exact_lower,preconditioned_exact_upper,interval_chebyshev_degree,raw_gradient_norm,preconditioned_gradient_norm
1127,damped_oscillator,40,7,2,10,0.01,0.0961635331189909,34.46208558367829,0.12626146223550674,21.99006911985645,35,0.0003070601097907294,0.000403894538590126
1128,damped_oscillator,60,0,0,0,0.1,0.3534752194894045,23.668437273572227,0.3560838536096196,19.14520222807946,16,18.279342269658287,24.345272598447593
1129,damped_oscillator,60,0,0,1,0.1,0.37072787271388774,6081.508602215664,0.37889233498007274,6063.868429148988,237,22.047987152028433,27.70455399965258
1130,damped_oscillator,60,0,0,2,0.1,0.3609514389845121,26133.78650298942,0.4051155919551664,26116.145153458674,497,42.23710534528592,52.16699094360005
1131,damped_oscillator,60,0,0,3,0.1,0.37958076724680434,6655.029621791125,0.4077364359124801,6637.3894322401575,245,20.97641144701054,25.90553596103335
1132,damped_oscillator,60,0,0,4,0.1,0.38087568334214905,1724.4513303328765,0.40828529443680406,1706.8156811716635,125,10.35591066779403,12.78964832944075
1133,damped_oscillator,60,0,0,5,0.1,0.37785817340840766,467.24978566537186,0.4083593371876813,449.6319066922924,65,5.038846295586992,6.223260048074774
1134,damped_oscillator,60,0,0,6,0.1,0.37366409157656766,142.15071254937493,0.4084468512161616,124.60576264502177,36,2.3842468657911313,2.944843083797324
1135,damped_oscillator,60,0,0,7,0.1,0.3695554555758245,55.85584147417693,0.4085448495239822,38.7253266965628,23,1.0702691300874358,1.3219832484422531
1136,damped_oscillator,60,0,0,8,0.1,0.36628541032268114,31.936252824856147,0.4086367751178674,20.90784050279634,18,0.42978143750661585,0.5308688519242291
1137,damped_oscillator,60,0,0,9,0.1,0.363862530860787,29.518984984327616,0.40872165887456846,20.23258068356005,17,0.13193160569041118,0.162962854353162
1138,damped_oscillator,60,0,0,10,0.1,0.36266888104333395,29.619922023161216,0.4087745836878235,20.154812536666505,17,0.021195882719567672,0.02618130490309623
1139,damped_oscillator,60,0,0,11,0.1,0.362432621369449,29.642386575039733,0.40878655497068295,20.144708927638117,17,0.0008098277658621622,0.0010003050268014466
1140,damped_oscillator,60,0,1,0,0.03,0.14396061064524762,21.942210244180323,0.16287676128088477,18.995062345835738,23,1.0326062899815098,1.300078949443884
1141,damped_oscillator,60,0,1,1,0.03,0.14361356102633493,131524.01655518747,0.16153673880823433,131506.37488387752,1765,50.27673603029918,61.89789410813129
1142,damped_oscillator,60,0,1,2,0.03,0.1537301007488945,33548.76427676968,0.1607692251481202,33531.122816635725,862,25.016785086468474,30.799210423817954
1143,damped_oscillator,60,0,1,3,0.03,0.15376698634632105,8693.682119740426,0.16080614959340256,8676.041473180558,439,12.35333292021966,15.208696273908567
1144,damped_oscillator,60,0,1,4,0.03,0.15377695084014648,2328.7563201456587,0.16081328659973496,2311.118717992855,227,6.009315328144971,7.398312614381862
1145,damped_oscillator,60,0,1,5,0.03,0.153781946845187,669.4177627098096,0.1608168105073151,651.7909986975344,122,2.835265862193676,3.490610937495043
1146,damped_oscillator,60,0,1,6,0.03,0.15378663671758655,222.7255309966925,0.16082021939412672,205.13449467161772,71,1.255001346439457,1.545083119313926
1147,damped_oscillator,60,0,1,7,0.03,0.1537930970364515,96.35780691512501,0.16082489936560218,78.87211643157531,47,0.4838746805629037,0.5957177678912194
1148,damped_oscillator,60,0,1,8,0.03,0.15379968735105093,59.046239915215324,0.1608296401999506,41.80848008740145,37,0.13632159013704778,0.1678310452157541
1149,damped_oscillator,60,0,1,9,0.03,0.1538032802907054,49.15548947480989,0.16083221011021698,32.20710285976227,33,0.01834345114785603,0.02258336757949618
1150,damped_oscillator,60,0,1,10,0.03,0.1538039226829579,47.78231747698801,0.1608326683587391,30.90907984061336,33,0.0005039128578920234,0.0006203875817231021
1151,damped_oscillator,60,0,2,0,0.01,0.08482383419483126,28.342566672523326,0.09128055497916195,19.400475611400058,34,0.7278738621391241,0.9077065542701633
1152,damped_oscillator,60,0,2,1,0.01,0.0846570654127774,387893.82498004637,0.09088692212046462,387876.1832609994,3948,49.955851164062196,61.50342758789361
1153,damped_oscillator,60,0,2,2,0.01,0.08463107316219992,98863.71339935824,0.09064213269000017,98846.07175195882,1994,24.861150554072747,30.607897511343275
1154,damped_oscillator,60,0,2,3,0.01,0.0846439483725196,25564.77507456116,0.0906557479101966,25547.133703245712,1014,12.280212970678651,15.118793008159471
1155,damped_oscillator,60,0,2,4,0.01,0.08464668469269268,6806.858381564828,0.0906582861211988,6789.218041710043,523,5.977958856511773,7.359743247942484
1156,damped_oscillator,60,0,2,5,0.01,0.08464639205672204,1922.9469528881539,0.09065974606489047,1905.310248448448,278,2.8257391074780385,3.4788872696305164
1157,damped_oscillator,60,0,2,6,0.01,0.08464621862328105,611.0730574262733,0.09066073624070126,593.4478747546166,157,1.2569983049059732,1.5475418015593476
1158,damped_oscillator,60,0,2,7,0.01,0.08464609560711633,240.98083739955322,0.09066153354485573,223.38579999231968,99,0.4905824784808303,0.6039760104208657
1159,damped_oscillator,60,0,2,8,0.01,0.08464598186042285,131.6605631210571,0.090662293865911,114.12007095625691,73,0.14241941334695585,0.17533832298212365
1160,damped_oscillator,60,0,2,9,0.01,0.08464591704696028,102.09089151401551,0.09066272782841885,84.59745050829318,65,0.020612437302897177,0.02537680857077229
1161,damped_oscillator,60,0,2,10,0.01,0.08464590431531888,97.67417189455657,0.09066281299132876,80.19183536178048,63,0.0006516759709862678,0.0008023047504228405
1162,damped_oscillator,60,1,0,0,0.1,0.3534752194894045,23.668437273572227,0.3560838536096196,19.14520222807946,16,17.658185770544822,23.621434652222558
1163,damped_oscillator,60,1,0,1,0.1,0.3610366990436993,6081.508602215664,0.37370608819988793,6063.86842914815,240,21.490998879293663,27.194602123370878
1164,damped_oscillator,60,1,0,2,0.1,0.3711804929832393,35048.83879704815,0.4060820783307804,35031.19734731874,567,48.61430327524409,60.10033059615783
1165,damped_oscillator,60,1,0,3,0.1,0.3655492325212616,8971.272825216294,0.4116706001264797,8953.632233552598,289,24.096342030576665,29.75858174066009
1166,damped_oscillator,60,1,0,4,0.1,0.36685327634996456,2347.3322967577174,0.4135555284795375,2329.695010260071,148,11.805666182763098,14.580156751508392
1167,damped_oscillator,60,1,0,5,0.1,0.36914737525052954,645.6501218889322,0.41377752170261073,628.0253062408694,78,5.665633036322415,6.997449853088118
1168,damped_oscillator,60,1,0,6,0.1,0.37106454266380895,199.2426340888435,0.41386405251682296,181.66440445596822,43,2.613111872987883,3.227566955486025
1169,damped_oscillator,60,1,0,7,0.1,0.3733169300065863,77.78178978363049,0.41394974993959793,60.39466099077741,27,1.1152922246519177,1.3776053206490817
1170,damped_oscillator,60,1,0,8,0.1,0.37561448323864444,42.97127700362732,0.4140258462000309,27.64457464210987,20,0.4010890900853509,0.4954280357945534
1171,damped_oscillator,60,1,0,9,0.1,0.3775836644220468,42.01019718105138,0.4140851636063486,25.878351137373656,20,0.09573937402606485,0.11825795300266097
