system,method,products,accepted_degree_two,preconditioned_relative_residual,original_relative_residual,original_residual_norm,original_gradient_norm
265,cost_gated_certificate,2,True,0.023643422348238265,0.017270899960481926,3.6042246429863215e-05,0.00208687714666477
265,interval_chebyshev,249,False,0.021468145704235567,0.015326445136997057,3.198440809601056e-05,0.00208687714666477
265,cg,2,False,0.023904961029496366,0.01746913070011323,3.645592963016624e-05,0.00208687714666477
265,direct,0,False,0.0,3.5455477347451226e-17,7.399122540048641e-20,0.00208687714666477
266,certificate,111,False,0.037835635502401065,0.029172377323640437,10.559619606038485,361.97322860901295
266,cost_gated_certificate,111,False,0.037835635502401065,0.029172377323640437,10.559619606038485,361.97322860901295
266,interval_chebyshev,111,False,0.037835635502401065,0.029172377323640437,10.559619606038485,361.97322860901295
266,cg,4,False,0.04102984832659253,0.019887664544428484,7.198802144639774,361.97322860901295
266,direct,0,False,0.0,4.081463037843573e-16,1.477380353256588e-13,361.97322860901295
267,certificate,232,False,0.011794188911097812,0.014215737836480495,4.006006513373702,281.80081536770246
267,cost_gated_certificate,232,False,0.011794188911097812,0.014215737836480495,4.006006513373702,281.80081536770246
267,interval_chebyshev,232,False,0.011794188911097812,0.014215737836480495,4.006006513373702,281.80081536770246
267,cg,5,False,0.04085679406008121,0.018944730723144072,5.338640564703563,281.80081536770246
267,direct,0,False,0.0,2.9077798833785635e-16,8.194147420458819e-14,281.80081536770246
268,certificate,353,False,0.047684393688451586,0.07360810699049546,15.147107212110425,205.7804205461536
268,cost_gated_certificate,353,False,0.047684393688451586,0.07360810699049546,15.147107212110425,205.7804205461536
268,interval_chebyshev,353,False,0.047684393688451586,0.07360810699049546,15.147107212110425,205.7804205461536
268,cg,7,False,0.040202171219954695,0.017222987776881086,3.544153667787853,205.7804205461536
268,direct,0,False,0.0,2.9666678914303795e-16,6.104821663193142e-14,205.7804205461536
269,certificate,344,False,0.019268637254344013,0.015747590463964345,2.246879072789918,142.68081697523914
269,cost_gated_certificate,344,False,0.019268637254344013,0.015747590463964345,2.246879072789918,142.68081697523914
269,interval_chebyshev,344,False,0.019268637254344013,0.015747590463964345,2.246879072789918,142.68081697523914
269,cg,7,False,0.04944947350072893,0.027051844788031233,3.859779315043661,142.68081697523914
269,direct,0,False,0.0,2.405252040563536e-16,3.431833261789663e-14,142.68081697523914
270,certificate,296,False,0.042275762958980494,0.05187323680102484,4.329861995387264,83.4700562834691
270,cost_gated_certificate,296,False,0.042275762958980494,0.05187323680102484,4.329861995387264,83.4700562834691
270,interval_chebyshev,296,False,0.042275762958980494,0.05187323680102484,4.329861995387264,83.4700562834691
270,cg,9,False,0.04276739829003285,0.026842912855142582,2.2405794468310076,83.4700562834691
270,direct,0,False,0.0,3.2321452382381194e-16,2.6978734495208247e-14,83.4700562834691
271,certificate,407,False,0.021603979178829773,0.027841801588734807,1.2503121012043277,44.907729739379434
271,cost_gated_certificate,407,False,0.021603979178829773,0.027841801588734807,1.2503121012043277,44.907729739379434
271,interval_chebyshev,407,False,0.021603979178829773,0.027841801588734807,1.2503121012043277,44.907729739379434
271,cg,9,False,0.048112052214211935,0.04410737205612891,1.9807619438108939,44.907729739379434
271,direct,0,False,0.0,2.5976239418678865e-16,1.1665339394594453e-14,44.907729739379434
272,certificate,205,False,0.039557128472024035,0.039556686132672006,0.7829207614641923,19.792374893040794
